SRC IP,Arrival Time,ARP,LLC,EAPOL,IP,ICMP,ICMP6,TCP,UDP,TCP_w_size,HTTP,HTTPS,DHCP,BOOTP,SSDP,DNS,MDNS,NTP,IP_padding,IP_ralert,Portcl_src,Portcl_dst,Pck_size,Pck_rawdata,Entropy,Flow Volume,Flow Per Second,Flow Duration,Average Flow Rate
192.168.29.8,1309.1856579780579,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,19.843158960342407,3.326083318281351
192.168.29.8,1309.7986221313477,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,20.456123113632202,3.226417813061402
192.168.29.8,1310.414775133133,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,21.07227611541748,3.1320774100768003
192.168.29.8,1310.9263780117035,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,21.583878993988037,3.0578377509614287
192.168.29.8,1311.4439270496368,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,22.101428031921387,2.986232378499494
192.168.29.8,1317.581941127777,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,28.239442110061646,2.3371566528392695
192.168.29.8,1318.1957290172577,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,28.853229999542236,2.287438876030417
192.168.29.8,1318.8108189105988,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,29.4683198928833,2.239693346614553
192.168.29.8,1319.425579071045,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,30.083080053329468,2.193924288437194
192.168.29.8,1320.0438840389252,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,30.701385021209717,2.149740148674225
192.168.29.8,1326.080892086029,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,36.7383930683136,1.796485760203926
192.168.29.8,1326.799663066864,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,37.45716404914856,1.7620127330889122
192.168.29.8,1327.4124879837036,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,38.06998896598816,1.7336490446310504
192.168.29.8,1328.0270869731903,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,38.68458795547485,1.7061058030646368
192.168.29.8,1328.5800149440765,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,39.237515926361084,1.68206366896073
192.168.29.8,1572.4547939300537,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,43.11229491233826,1.5308857979887203
192.168.29.8,1573.1725311279297,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,43.83003211021423,1.5058168297490075
192.168.29.8,1573.7887930870056,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,44.44629406929016,1.4849382019816633
192.168.29.8,1574.405513048172,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,45.06301403045654,1.4646157479700064
192.168.29.8,1575.0151510238647,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,45.67265200614929,1.445066075670707
192.168.29.8,1608.1859440803528,0,0,0,1,0,0,1,0,64240,0,0,0,0,0,0,0,0,0,0,3,2,52,0,0,66,0,18.84344506263733,3.502544241809817
192.168.29.8,1608.1891329288483,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,18.846633911132812,2.865233136836276
192.168.29.8,1608.193566083908,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,54,1,3.09306920777189,68,14,18.851067066192627,3.6072228569994707
192.168.29.8,1608.193566083908,0,0,0,1,0,0,1,0,513,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,18.851067066192627,2.864559327617227
192.168.29.8,1608.199136018753,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,40,0,0,54,0,18.856637001037598,2.863713184754451
